# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.060039520263671875e+00 5.692775920033454895e-02 3.495141863822937012e-01 4.060039520263671875e+00 5.692775920033454895e-02 3.713574111461639404e-01
1.000000000000000000e+03 3.986672891187481582e-05 4.415135117596946657e-05 3.195399641990661621e-01 3.986672891187481582e-05 4.415135117596946657e-05 3.328387439250946045e-01
2.000000000000000000e+03 5.696521475329063833e-05 5.455913560581393540e-05 3.193960785865783691e-01 5.696521475329063833e-05 5.455913560581393540e-05 3.326903283596038818e-01
3.000000000000000000e+03 8.794495079200714827e-05 8.929584146244451404e-05 3.192771077156066895e-01 8.794495079200714827e-05 8.929584146244451404e-05 3.325584828853607178e-01
4.000000000000000000e+03 5.342403164831921458e-05 1.789387169992551208e-04 3.190997838973999023e-01 5.342403164831921458e-05 1.789387169992551208e-04 3.322974443435668945e-01
5.000000000000000000e+03 3.620348797994665802e-05 2.428209118079394102e-04 3.189673125743865967e-01 3.620348797994665802e-05 2.428209118079394102e-04 3.321810066699981689e-01
6.000000000000000000e+03 5.077621244709007442e-05 2.626851201057434082e-04 3.188767731189727783e-01 5.077621244709007442e-05 2.626851201057434082e-04 3.321396112442016602e-01
7.000000000000000000e+03 6.575486622750759125e-05 2.637742727529257536e-04 3.188450336456298828e-01 6.575486622750759125e-05 2.637742727529257536e-04 3.321572840213775635e-01
8.000000000000000000e+03 6.821531860623508692e-05 1.764903136063367128e-04 3.190362453460693359e-01 6.821531860623508692e-05 1.764903136063367128e-04 3.323013186454772949e-01
9.000000000000000000e+03 6.343518907669931650e-05 2.891065960284322500e-04 3.187660574913024902e-01 6.343518907669931650e-05 2.891065960284322500e-04 3.321073353290557861e-01
1.000000000000000000e+04 5.846947533427737653e-05 2.942685678135603666e-04 3.187728524208068848e-01 5.846947533427737653e-05 2.942685678135603666e-04 3.321362435817718506e-01
1.000000000000000000e+04 5.846947533427737653e-05 2.942685678135603666e-04 3.241011202335357666e-01 5.846947533427737653e-05 2.942685678135603666e-04 3.524667322635650635e-01
1.776000000000000000e+04 6.709867157042026520e-04 6.584752118214964867e-04 3.061099946498870850e-01 6.709867157042026520e-04 6.584752118214964867e-04 3.781695663928985596e-01
